program_id,sample_id,task_clock,context_switches,page_faults,instructions,branches,branch_misses,L1_dcache_loads,LLC_loads,LLC_load_misses,L1_icache_loads,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
ADD_5,5,6001.66,33,226,26260570953,5597482621,6232616,5501397091,11402009,5344,3898288001,3762414,5503318904,136855,26273790598,58459
ADD_5,6,6017.26,36,226,26253690376,5596187636,6218539,5500608025,9182819,58,3899407817,3829581,5503254362,138139,26268382282,57300
ADD_5,7,6011.70,32,226,26251993432,5594834070,6225696,5502036794,8960200,68,3900777645,3635773,5505706498,135613,26263434562,55076
ADD_5,8,6013.17,34,225,26260152499,5597044838,6225317,5500329664,8308464,304,3898289815,3436427,5504813451,139304,26271203572,55100
ADD_5,9,6011.36,33,223,26259131715,5596486917,6225399,5501074230,9961877,362,3900004538,3803310,5504749587,138483,26266346031,57606
ADD_5,10,6013.65,17,224,26259851399,5597896913,6215545,5501435514,8437236,398,3900498498,3735995,5502641399,139529,26260561341,57985
ADD_5,11,6016.24,32,227,26251290674,5595756921,6225683,5502972947,9560475,677,3898966545,3375370,5503635735,139177,26261661983,64700
ADD_5,12,6027.29,36,228,26254878585,5595290178,6241268,5501732668,8008866,201,3900683595,3853210,5503894795,137896,26259631918,88645
ADD_5,13,6035.03,35,226,26246364491,5591818277,6223933,5497803260,10329425,1177,3903173240,3274789,5508375372,138345,26281286753,58551
ADD_5,14,6053.77,22,228,26263692659,5595574434,6220873,5498823879,12504217,5561,3899520125,3229564,5507337112,134089,26274894349,57916
ADD_5,15,5997.82,22,221,26246067040,5595514903,6214042,5502246163,9886094,3995,3899108727,3285248,5504905408,133283,26264114162,58097
ADD_5,16,6011.70,30,227,26263093199,5597850154,6219770,5501374442,10781553,1088,3900273115,3719907,5503547317,147211,26268622559,58402
ADD_5,17,6004.43,19,226,26261051081,5596780824,6211982,5500413616,11324167,3125,3897200463,3341730,5504479651,136293,26270629315,57603
ADD_5,18,6019.08,28,226,26249220302,5596061739,6227772,5502031724,11295804,496,3900223328,3443173,5504355786,150961,26257505338,59001
ADD_5,19,6043.80,19,227,26262278733,5597801379,6221748,5499405092,9153630,3805,3898755513,3158746,5505242431,136647,26281638973,57999
