besu_gas,besu_gas_stderr,erigon_gas,erigon_gas_stderr,ethereumjs_gas,ethereumjs_gas_stderr,evmone_gas,evmone_gas_stderr,geth_gas,geth_gas_stderr,nethermind_gas,nethermind_gas_stderr,revm_gas,revm_gas_stderr,opcode,constant_current_gas,alternative_gas,alternative_gas_stderr,alternative_gas_rel_stderr,alternative_gas_rel_diff
7.16898330273627,0.329248258996295,2.22448149654331,0.376085510946043,1.98239776723964,0.417186772607047,2.34959596431406,0.0819986246732503,-20.0869719559816,1.56431269894188,4.6610513637715,0.350400254249866,1.87141444114738,0.440337400305371,ADD,3,2.22448149654331,4.34468433977378,1.95312226535717,0.258506167818897
8.1409214092141,0.274364216494892,3.47864985766573,0.259731411378634,2.99337914318143,0.220389656264277,10.6253242405842,0.151881073946497,5.07809726659571,0.38665835605661,8.01849238321748,0.260712945537109,2.70326409495548,0.469281553702261,MUL,5,5.07809726659571,2.51563499103045,0.495389288342028,0.0156194533191417
6.80409126671912,0.298027879615304,1.9910532736885,0.24470940979691,2.68192298389009,0.551335947903675,2.3491405483675,0.0825376464174546,2.04792332268372,0.78238183376761,3.78016346940435,0.487079831186052,2.29277942631058,0.216954934276341,SUB,3,2.3491405483675,0.990631671047252,0.421699617647686,0.216953150544166
5.82463502054375,0.301239978573469,2.95079300528671,0.217568919478407,4.03482793337474,0.469907731278407,10.2978902953586,0.0796276637780548,3.04827831025914,0.0717577527657581,4.00099610976135,0.151554760602464,5.54104846686448,0.298269838259397,DIV,5,4.03482793337474,1.6662151939228,0.412958178498873,0.193034413325051
6.67470932773846,0.421540646593169,4.0601870679138,0.338318724908349,3.41421493192945,0.253026806294612,13.4485948277204,0.0864789684372992,3.74085906993256,0.0607451869820294,6.65905380538369,0.355677456176181,9.18694362017804,0.160934632578047,SDIV,5,6.65905380538369,2.5849981008373,0.388193004049222,0.331810761076738
16.3397150100533,0.694150614508765,2.77795851972348,0.271201659598845,2.88075834037906,0.229448480787507,10.2814937643047,0.0807080167270339,2.89385871494498,0.096585618416849,4.44320146611544,0.484079960167662,5.50346191889218,0.299544172004604,MOD,5,4.44320146611544,3.36744215974325,0.757886444138061,0.111359706776913
16.2988023428621,0.660622122554554,4.61122407482721,0.248872171554722,3.87346193462842,0.282717669140725,13.3252331573948,0.0820087516022088,3.63755768548102,0.0552549181165232,7.05939583382842,0.201311389943383,9.43323442136498,0.275029624732238,SMOD,5,7.05939583382842,3.84786088952647,0.545069433716641,0.411879166765684
19.7959611854183,0.625989860186127,4.51891012606753,0.156108786612262,3.95290980619253,0.355075927084879,16.578281719526,0.0372560097148563,4.92580759673415,0.101734481779169,8.11679565873133,0.334062448894758,24.8298714144411,0.169262177605331,ADDMOD,8,8.11679565873133,6.82949811291303,0.84140323349972,0.0145994573414159
20.3662907596819,0.711604948282324,10.5656771045141,0.317459191233763,3.47146435663247,0.292488646182941,27.6349782801624,0.0595756402334688,8.75718849840258,0.108830632716488,23.026067614959,0.291351870632366,13.5489614243324,0.0980155001117598,MULMOD,8,13.5489614243324,6.89042952789346,0.508557764104269,0.693620178041545
30.490252644462,0.83572133398658,15.1301342008947,0.536834300519028,10.0973218455269,0.284557921375648,43.8596672738878,0.0945441027917305,10.5331913383032,0.151209521719096,33.8624811943851,0.575606830039405,25.8832838773491,0.26906479594435,EXP,10,25.8832838773491,10.3502505325729,0.399881660364995,1.58832838773491
11.8141445930588,0.324109752163543,5.24684831232209,0.43627653935208,5.25278538364331,0.422770654338667,1.87916686128886,0.084089266212278,3.51579694710686,0.0753510779491469,3.70383741522481,0.310970614889375,9.28090999010879,0.263103150212667,SIGNEXTEND,5,5.24684831232209,2.46414839188434,0.469643535548255,0.0493696624644182
2.25177025963808,0.52164701839912,2.5591703944693,0.232854709621498,1.45496288142495,0.380100329039322,1.12652700577639,0.0786476166906036,2.85942492012782,0.0733788885814446,2.88282171666555,0.282111051077959,2.12858555885262,0.41647772740677,LT,3,2.25177025963808,0.513048797886959,0.227842425616466,0.249409913453974
2.60931899641579,0.498151336166658,2.87677917852786,0.288727112004277,1.29684261926998,0.444922978536101,1.12333753717284,0.0776888427288791,2.88569400070999,0.078506670296766,2.69339668552341,0.387385719317578,2.4975272007913,0.370836346236988,GT,3,2.60931899641579,0.505451786789592,0.19371023147568,0.130227001194738
4.8451787743684,0.350257879929829,2.91744611630745,0.34805725250137,2.35623141642853,0.402233391478004,1.31328024039734,0.0852118475943692,4.15832445864396,0.460280235930011,3.99663309965041,0.173642121441675,2.92087042532146,0.336370343763101,SLT,3,2.92087042532146,0.916168365647064,0.313662789593357,0.026376524892848
4.84675233849113,0.192940219450758,2.92069947132981,0.364402792106032,2.96923653528598,0.273246801172978,1.311228143927,0.0853400501235211,3.13773517926874,0.100461344473188,4.67228559793398,0.377963001951315,3.06528189910979,0.179639856623076,SGT,3,3.06528189910979,0.779372709307295,0.254258086192215,0.0217606330365975
2.62418043535275,0.206803892463237,2.942252948353,0.22979658758169,1.84092192179886,0.29792175710178,1.47231226742647,0.0862878270941264,2.73766418175364,0.0965885177278836,3.40833672140672,0.270729817140413,1.82987141444114,0.265911969754256,EQ,3,2.62418043535275,0.563592606835268,0.214768999586535,0.125273188215749
1.38910743946149,0.457810817095557,2.14477429849533,0.30968952300658,2.30282316949297,0.387344668649274,0.793582138353025,0.0863829444749055,1.76073837415693,0.152732690984988,1.70421217194097,0.150939273801034,1.21463897131553,0.409090781443205,ISZERO,3,1.70421217194097,0.401572470430739,0.23563525542326,0.431929276019677
