program_id,sample_id,total_time_ns,iterations_count,std_dev_time_ns,mem_allocs,mem_alloc_bytes
ADD_40,1,13416,278,1086.2463145883069,1,38592
ADD_40,2,13880.47089041096,292,1538.1897134328212,1,38592
ADD_40,3,14228.818181818182,286,1050.2014151771996,1,38592
ADD_40,4,14943.865979381444,291,1961.2307762827422,1,38592
ADD_40,5,15835.516071428572,280,1884.208418999405,1,38592
ADD_40,6,13575.471223021583,278,977.2540348483494,1,38592
ADD_40,7,15495.612099644128,281,1478.011901555191,1,38592
ADD_40,8,15173.63475177305,282,2057.6259096134486,1,38592
ADD_40,9,13614.583333333334,276,1163.0179152584542,1,38592
ADD_40,10,14995.942307692309,286,2126.621266603953,1,38592
ADD_45,1,14979.06474820144,278,1831.1595085114877,1,38592
ADD_45,2,13688.74471830986,284,997.5857460105286,1,38592
ADD_45,3,14240.543636363636,275,950.4964751033054,1,38592
ADD_45,4,13536.82456140351,285,1029.1547994131768,1,38592
ADD_45,5,15821.01567944251,287,2080.3240116949123,1,38592
ADD_45,6,14362.282608695652,276,1137.41983207053,1,38592
ADD_45,7,14123.598540145986,274,1050.990017029323,1,38592
ADD_45,8,14939.871527777777,288,1206.5451299826157,1,38592
ADD_45,9,14967.270462633453,281,1824.4594986743336,1,38592
ADD_45,10,13751.72463768116,276,981.1293549642654,1,38592
ADD_5,1,12506.531802120142,283,1019.2273699274133,1,38592
ADD_5,2,12569.09090909091,286,900.8325927316306,1,38592
ADD_5,3,12148.945945945947,296,1088.3777753216104,1,38592
ADD_5,4,13577.906690140846,284,1438.9454217498562,1,38592
ADD_5,5,12315.55,280,1012.848829772403,1,38592
ADD_5,6,12079.46896551724,290,1099.3579546846138,1,38592
ADD_5,7,12173.922261484098,283,1114.8783483070904,1,38256
ADD_5,8,12236.112627986347,293,924.8136896473615,1,38592
ADD_5,9,12657.709621993126,291,967.8180279460819,1,38592
ADD_5,10,12512.166071428572,280,963.3659666825943,1,38592
ADD_10,1,12890.458333333334,288,1235.3818972511094,1,38592
ADD_10,2,12449.9,280,1128.3513033622476,1,38592
ADD_10,3,12255.573214285714,280,1131.7484716328954,1,38592
ADD_10,4,12288.803886925794,283,1145.360724505672,1,38592
ADD_10,5,12447.732142857143,280,994.8386369952035,1,38592
ADD_10,6,12563.81399317406,293,1129.4504234128012,1,38592
ADD_10,7,13428.296551724137,290,1581.4697119499501,1,38592
ADD_10,8,12264.88698630137,292,1082.6523523504636,1,38592
ADD_10,9,13449.568965517241,290,1226.822393640872,1,38592
