program_id,sample_id,total_time_ns,iterations_count,margin_of_error
MUL_40,1,86491.18830648702,1157,±4.28%
MUL_40,2,87818.02894145068,1143,±4.84%
MUL_40,3,90732.89610101003,1103,±6.33%
MUL_40,4,85479.62547367455,1170,±3.64%
MUL_40,5,86261.6045721646,1160,±4.62%
MUL_40,6,88734.7668673085,1130,±4.93%
MUL_40,7,90766.07595121795,1102,±4.50%
MUL_40,8,85971.09162111052,1164,±4.32%
MUL_40,9,86393.85374922414,1158,±4.56%
MUL_40,10,87358.82621665188,1145,±4.74%
MUL_45,1,91811.72782128012,1090,±4.89%
MUL_45,2,91579.00645216089,1098,±4.64%
MUL_45,3,92239.16893181164,1085,±4.85%
MUL_45,4,94892.25934081106,1054,±4.78%
MUL_45,5,92601.69855988621,1082,±4.93%
MUL_45,6,91456.94153836266,1094,±4.78%
MUL_45,7,91206.18460280524,1097,±4.65%
MUL_45,8,93372.93266916141,1071,±5.10%
MUL_45,9,90717.5958102547,1103,±4.60%
MUL_45,10,92661.37017144097,1080,±4.98%
MUL_5,1,83394.70545450845,1200,±4.50%
MUL_5,2,83586.10403368446,1197,±4.98%
MUL_5,3,86066.98960322316,1162,±5.53%
MUL_5,4,81706.35871637882,1224,±4.18%
MUL_5,5,82923.30714995984,1206,±4.95%
MUL_5,6,86190.07830163922,1161,±5.54%
MUL_5,7,80806.68287631577,1238,±2.90%
MUL_5,8,83372.74551391602,1200,±5.01%
MUL_5,9,82905.93764361214,1207,±4.85%
MUL_5,10,84656.02635933865,1182,±4.69%
MUL_10,1,84228.98443459661,1188,±4.99%
MUL_10,2,84708.10410558026,1191,±5.08%
MUL_10,3,85132.05670295878,1175,±4.80%
MUL_10,4,83699.56555226857,1195,±4.80%
MUL_10,5,84033.90836314995,1190,±4.76%
MUL_10,6,86474.7293879477,1157,±4.88%
MUL_10,7,82769.76781802498,1209,±4.09%
MUL_10,8,85232.98325286813,1174,±5.24%
MUL_10,9,85108.35688164893,1175,±5.01%
MUL_10,10,84030.57415479377,1191,±4.15%
MUL_25,1,87985.54620935714,1137,±4.70%
MUL_25,2,89266.61950445091,1126,±5.17%
MUL_25,3,92950.11896183055,1076,±7.61%
MUL_25,4,86490.64758881065,1157,±2.70%
MUL_25,5,88057.0478842292,1136,±4.84%
MUL_25,6,87750.61222544887,1140,±4.88%
MUL_25,7,90629.37031621518,1104,±5.12%
MUL_25,8,87606.78487053083,1145,±4.62%
MUL_25,9,88369.12687591444,1132,±5.19%
MUL_25,10,88030.84198857697,1136,±4.91%
MUL_15,1,85789.14557272125,1166,±4.88%
MUL_15,2,86357.74918788455,1158,±4.85%
MUL_15,3,88576.76368355223,1129,±4.96%
MUL_15,4,85356.2534058867,1172,±4.54%
MUL_15,5,84965.22214722613,1177,±4.62%
MUL_15,6,88118.54058016573,1137,±5.11%
MUL_15,7,86846.80196974013,1152,±5.33%
MUL_15,8,86764.39734550258,1159,±4.96%
MUL_15,9,85091.32489055191,1176,±4.60%
MUL_15,10,88538.4821258815,1130,±5.47%
