opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
IDENTITY,16682.4276818594,5.6612075865864e-07,-1010.33172903635,4.73404650921893e-09,0.0274496563344221,0.617060159832392,NA,0.0443093645865409,1.38920397549362e-202,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
MODEXP,15555.347256937,5.29686573974686e-297,276.394411021723,3.42566904912253e-95,1.52666082238485,4.77597330840125,4.66108101826073,0.000122593268018852,2.27461759983906e-35,3.50829680685608e-31,NA,NA,FALSE,TRUE,TRUE,TRUE
RIPEMD-160,19411.2080085394,3.6674132452369e-18,403.415786709646,0.000308015350307523,-0.00338752499707402,3.08226484629987,NA,0.695352259508957,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SHA2-256,19461.9450721858,3.69708960380436e-224,-109.630795790318,1.81147021344021e-08,-0.00137039065574532,0.435907180623468,NA,0.400772427990008,0,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
