op,estimate_marginal_ns,estimate_marginal_ns_stderr,env
SWAP7,3.79250363636364,0.18518879650548,evmone
SWAP8,3.83646727272727,0.174943098655323,evmone
SWAP9,3.85282727272727,0.189070636374417,evmone
SWAP10,3.86372181818182,0.182335002949632,evmone
SWAP11,3.83372181818182,0.180598508710323,evmone
SWAP12,3.88225727272727,0.202017089824992,evmone
SWAP13,3.85788818181818,0.193816983549227,evmone
SWAP14,3.86167272727273,0.187223574176097,evmone
SWAP15,3.84166090909091,0.15743230691596,evmone
SWAP16,3.88469272727273,0.196465132485286,evmone
