opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
IDENTITY,74011.2326807665,4.43236100511843e-305,521.977971994761,6.13833362068167e-24,-0.00273205767800166,0.0298802211164171,NA,0.49019650218972,2.34187369356335e-14,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MODEXP,65296.6022519355,6.62872160625863e-261,3024.96881273572,1.9715024141946e-233,-0.830805750002021,-1.97600073967883,0.674230416914942,0.60855686153684,0.222711367786611,0.675262683295108,NA,NA,FALSE,FALSE,FALSE,FALSE
RIPEMD-160,132898.241654061,3.18427860385471e-05,25125.6471314372,3.17542229072333e-43,-0.100627059944019,1.14918758521649,NA,0.436474098514925,2.96265791472839e-17,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SHA2-256,74890.7677905458,1.14321111964212e-306,1308.07203695077,1.21262195147819e-97,-0.00077582847505827,0.441870565005264,NA,0.857696449401073,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
