opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
IDENTITY,19107.6936870903,3.15189180102325e-12,-929.741105919016,3.55165007881718e-11,0.012604835963878,0.328691881821626,NA,0.251403227808302,1.32195242514111e-125,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
MODEXP,15775.8580023843,4.07920429001557e-316,355.030408918897,9.55962807292782e-144,1.27225451835762,4.12576038139164,4.48698131278981,0.00060889675291026,6.15933270821054e-31,7.72823328277734e-33,NA,NA,FALSE,TRUE,TRUE,TRUE
RIPEMD-160,15138.3697432538,4.76810703182222e-53,201.58506666107,1.3983611428405e-05,-0.000334286311749497,3.01079510363262,NA,0.925867264591843,0,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
SHA2-256,15400.8911915142,0,-84.421457949912,7.17521285446085e-64,-0.000107560597844789,0.429125222258041,NA,0.772780476129285,0,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
