opcode,intercept,intercept_p,estimate_marginal_ns,estimate_marginal_ns_p,arg0_ns_raw,arg1_ns_raw,arg2_ns_raw,arg0_ns_p,arg1_ns_p,arg2_ns_p,expensive_ns_raw,expensive_ns_p,has_impacting_arg0,has_impacting_arg1,has_impacting_arg2,has_impacting
IDENTITY,336.972555265062,0,-0.0838922468645915,0.686880266773386,2.5480230564049e-06,9.3562821393098e-06,NA,0.878302828158609,0.560726134958526,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
MODEXP,244.657109127954,0,-0.0392006798053672,0.143147137625447,0.000330632401793539,0.000162725245653798,0.00140640974344559,0.729647090443717,0.853572526197439,0.132328069475017,NA,NA,FALSE,FALSE,FALSE,FALSE
RIPEMD-160,337.260362026975,0,0.0650903250906548,0.760257335795494,-8.76843278794692e-06,1.97976685013625e-06,NA,0.598413091082108,0.903449835723708,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
SHA2-256,342.022621572721,0,0.0176398660763803,0.934695479149375,-1.42644808803533e-06,-4.10688002241886e-06,NA,0.937380705665607,0.81719308667014,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
