geth_gas,evmone_gas,besu_gas,nethermind_gas,ethereumjs_gas,erigon_gas,revm_gas,geth_gas_stderr,evmone_gas_stderr,besu_gas_stderr,nethermind_gas_stderr,ethereumjs_gas_stderr,erigon_gas_stderr,revm_gas_stderr,opcode,constant_current_gas,alternative_gas,alternative_gas_stderr,alternative_gas_rel_stderr,alternative_gas_rel_diff,gas diff %,gas std err %
1.819284241,0.576269731,0.719069866,0.442195455,1.67676568,1.959487183,1.319291974,0.041516565,0.058131268,0.139956256,0.123134617,0.111598801,0.200938756,0.078534016,DUP5,3,1.216052019,0.238779991,0.196356725,0.594649327,-59.46%,19.64%
1.821325133,0.584002745,0.743486777,0.605704547,1.528071247,2.212679548,1.39500345,0.059537918,0.043652934,0.012952107,0.109528933,0.120385303,0.219555424,0.08120231,DUP6,3,1.270039064,0.24220847,0.190709465,0.576653645,-57.67%,19.07%
1.847246413,0.556387313,0.758393045,0.877385453,1.253635517,1.416284,1.348835061,0.029780187,0.03263022,0.013213004,0.151963047,0.055301307,0.104355887,0.080483225,DUP7,3,1.151166686,0.168139442,0.146060031,0.616277771,-61.63%,14.61%
1.710492008,0.527689432,0.767744907,0.870728654,1.148451804,1.539944946,1.406243092,0.052337943,0.043093082,0.039807963,0.150776165,0.06667659,0.096387035,0.078816861,DUP8,3,1.138756406,0.164921932,0.144826348,0.620414531,-62.04%,14.48%
1.811276914,0.53954441,0.748591044,0.66231179,1.607067877,2.062190666,1.406008933,0.024950137,0.061098699,0.020200403,0.13734479,0.097151629,0.240376676,0.085089334,DUP9,3,1.262427376,0.230267761,0.182400798,0.579190875,-57.92%,18.24%
1.773779187,0.55221339,0.737910893,0.602478497,1.50148954,1.863916383,1.416038752,0.028021342,0.060518417,0.014698635,0.152855104,0.092535963,0.241943815,0.081370333,DUP10,3,1.206832378,0.212548886,0.176121299,0.597722541,-59.77%,17.61%
1.778456638,0.591805035,0.778253486,0.599192936,1.525095747,1.328905663,1.378963545,0.027785563,0.059586213,0.013105279,0.137354224,0.123908095,0.095721018,0.082415137,DUP11,3,1.14009615,0.180776435,0.158562447,0.61996795,-62.00%,15.86%
1.80940691,0.600914924,0.761939575,0.74412974,1.628866631,1.953342836,1.407491941,0.028330252,0.059278519,0.010306268,0.140493574,0.101526085,0.208491518,0.08114258,DUP12,3,1.272298937,0.212014673,0.16663904,0.575900354,-57.59%,16.66%
1.79008191,0.515695899,0.852223171,0.688783586,1.491829655,1.352982931,1.460919266,0.050172475,0.071315401,0.056037137,0.140880027,0.102749406,0.106544212,0.084669349,DUP13,3,1.164645203,0.180386963,0.154885765,0.611784932,-61.18%,15.49%
1.834234507,0.597745514,0.755346037,0.980466043,1.10429113,1.472881061,1.420995121,0.032346719,0.05520775,0.02615066,0.155056447,0.056960005,0.087465663,0.07778366,DUP14,3,1.16656563,0.164426441,0.140949156,0.61114479,-61.11%,14.09%
1.81901082,0.624694158,0.773159448,0.692953376,1.689620673,2.067989691,1.394574158,0.029844887,0.054933885,0.012047197,0.139653005,0.08307425,0.214310758,0.078636895,DUP15,3,1.294571761,0.224765869,0.173621792,0.56847608,-56.85%,17.36%
1.834576283,0.635250198,0.752253743,0.832783461,1.425119579,1.219724419,1.422868395,0.032847486,0.078783299,0.01375376,0.151184313,0.116564555,0.091279786,0.085009993,DUP16,3,1.160368011,0.165234136,0.142398045,0.613210663,-61.32%,14.24%
1.90040237,0.919050939,1.785867996,0.743562539,0.769245685,1.854985646,2.177251293,0.037335673,0.055500351,0.077988181,0.162666716,0.025120607,0.156293639,0.030377482,SWAP1,3,1.450052352,0.231607459,0.159723515,0.516649216,-51.66%,15.97%
1.964421927,0.888179501,1.770243575,0.998390069,0.773844512,1.806092834,2.105637604,0.032934012,0.047454283,0.078862733,0.104234838,0.025830513,0.163047205,0.024111185,SWAP2,3,1.472401432,0.212531002,0.14434311,0.509199523,-50.92%,14.43%
1.972678262,0.894899342,1.796430813,0.972019998,0.814323392,1.747661995,2.077499473,0.0280251,0.043340904,0.078571561,0.122983471,0.028580785,0.172760121,0.026362836,SWAP3,3,1.467930468,0.207823241,0.141575671,0.510689844,-51.07%,14.16%
1.913448454,0.850466987,1.764962075,0.923131142,0.825682843,1.760534165,2.165153068,0.034172306,0.044639833,0.07718088,0.118035185,0.023094421,0.161419738,0.031480885,SWAP4,3,1.457625533,0.21537655,0.147758492,0.514124822,-51.41%,14.78%
